"ensembl","symbol","direction","program_rank","baseMean","log2FoldChange","stat","pvalue","padj"
"ENSG00000178826","TMEM139","up_in_WHO_II_vs_I",26,6.4287483244515,1.83991589655207,5.97613602749866,2.28492232104935e-09,4.76325342124265e-07
"ENSG00000225062","CATIP-AS1","up_in_WHO_II_vs_I",27,9.2743615140854,1.48295739966955,5.86317435037084,4.5410096282482e-09,8.34883541026883e-07
"ENSG00000250479","CHCHD10","up_in_WHO_II_vs_I",28,123.7839005423,1.32251488887938,5.86345157435299,4.53343104978557e-09,8.34883541026883e-07
"ENSG00000101057","MYBL2","up_in_WHO_II_vs_I",29,46.4855957628671,1.55909738262748,5.8574260252506,4.70096098904236e-09,8.46669137872353e-07
"ENSG00000178623","GPR35","up_in_WHO_II_vs_I",30,34.5420351877488,1.03984325199393,5.83796506258955,5.2842234145737e-09,9.32665432672257e-07
"ENSG00000185168","ENSG00000185168","up_in_WHO_II_vs_I",31,21.1625553026141,1.61162913072695,5.72297957540303,1.04671853136136e-08,1.5481493361895e-06
"ENSG00000197580","BCO2","up_in_WHO_II_vs_I",32,306.611468858022,1.47764404971297,5.70692959797289,1.15032333235842e-08,1.67334122110929e-06
"ENSG00000224186","PITX1-AS1","up_in_WHO_II_vs_I",33,27.0212676957954,1.54068978077935,5.68885654031012,1.27892852410778e-08,1.84019742803009e-06
"ENSG00000270102","ENSG00000270102","up_in_WHO_II_vs_I",34,17.2317249785953,1.02229401155532,5.67218813383018,1.40985022307704e-08,1.96451498189288e-06
"ENSG00000105143","SLC1A6","up_in_WHO_II_vs_I",35,4.0861813768548,3.42709714126399,5.66558680910058,1.46522220304305e-08,2.03098208510811e-06
"ENSG00000266927","ENSG00000266927","up_in_WHO_II_vs_I",36,36.4018502263529,1.36447287825112,5.58876575340583,2.28689191779755e-08,2.92097258514722e-06
"ENSG00000233135","RPS27P18","up_in_WHO_II_vs_I",37,14.3686020533732,6.59490413995186,5.56531001911021,2.61686746945621e-08,3.23745636700248e-06
"ENSG00000239559","ENSG00000239559","up_in_WHO_II_vs_I",38,47.0034032786359,1.30845457677279,5.56034822070251,2.69236911547675e-08,3.31537080615102e-06
"ENSG00000236423","LINC01134","up_in_WHO_II_vs_I",39,10.4752277088677,1.8089869119406,5.52593959413574,3.27726884873954e-08,3.89083824082419e-06
"ENSG00000213931","HBE1","up_in_WHO_II_vs_I",40,12.2716513460687,1.82750405925408,5.50360427621779,3.7210427125236e-08,4.35905335460453e-06
"ENSG00000244291","ENSG00000244291","up_in_WHO_II_vs_I",41,35.41899649025,1.40803623212455,5.48824717166445,4.05941772497382e-08,4.65251447050571e-06
"ENSG00000187990","ENSG00000187990","up_in_WHO_II_vs_I",42,5.61418314457856,1.67833935699322,5.45034688099532,5.02716692323488e-08,5.56879683232817e-06
"ENSG00000123975","CKS2","up_in_WHO_II_vs_I",43,118.829127351682,1.12340705003604,5.44898198874015,5.06589426608752e-08,5.58831461227779e-06
"ENSG00000175600","SUGCT","up_in_WHO_II_vs_I",44,58.0799448648793,1.00205890599563,5.38496788092315,7.24575860664141e-08,7.26803218153943e-06
"ENSG00000251076","LOC101927023","up_in_WHO_II_vs_I",45,16.4454689347026,3.26818709824413,5.3849260760716,7.24744285524612e-08,7.26803218153943e-06
"ENSG00000183856","IQGAP3","up_in_WHO_II_vs_I",46,128.825766240996,1.29799362650059,5.3698921770476,7.87837316051664e-08,7.76378058354531e-06
"ENSG00000226398","ENSG00000226398","up_in_WHO_II_vs_I",47,6.35362834027608,1.33965932234041,5.36210229804803,8.22589302079977e-08,8.03618146589203e-06
"ENSG00000182217","ENSG00000182217","up_in_WHO_II_vs_I",48,6.44792533916902,1.53900401987188,5.35722692526013,8.45089541582351e-08,8.16580950217587e-06
"ENSG00000169752","NRG4","up_in_WHO_II_vs_I",49,73.5521020478953,1.62357585784826,5.35362158012321,8.62110617423832e-08,8.29977403501671e-06
"ENSG00000197847","ENSG00000197847","up_in_WHO_II_vs_I",50,13.159026343254,1.43411618354612,5.34692458866825,8.9461267094126e-08,8.55049475204688e-06
"ENSG00000121743","GJA3","up_in_WHO_II_vs_I",51,182.936451205919,2.35393323287143,5.31516570781491,1.06560309292292e-07,9.80937121885782e-06
"ENSG00000266903","CEACAM16-AS1","up_in_WHO_II_vs_I",52,7.81075712117056,1.57183719870761,5.2940394378364,1.19643613042565e-07,1.06652008596024e-05
"ENSG00000154736","ADAMTS5","up_in_WHO_II_vs_I",53,763.729005262194,2.19946954497149,5.29199798349346,1.209872268134e-07,1.07128322069725e-05
"ENSG00000125355","TMEM255A","up_in_WHO_II_vs_I",54,40.756500448642,1.83537790596488,5.25903184655971,1.4481581101017e-07,1.24077624482015e-05
