"metaprogram","rank","gene"
"MP8",36,"TMOD1"
"MP8",37,"BMP5"
"MP8",38,"CEMIP"
"MP8",39,"COL9A3"
"MP8",40,"DCN"
"MP8",41,"EFEMP1"
"MP8",42,"KCNMA1"
"MP8",43,"SLIT2"
"MP8",44,"TMTC1"
"MP8",45,"WFDC2"
"MP8",46,"ABCG2"
"MP8",47,"ADIRF"
"MP8",48,"ADM"
"MP8",49,"AGR2"
"MP8",50,"ATP1B1"
"MP9",1,"ACTA2"
"MP9",2,"MYL9"
"MP9",3,"PERP"
"MP9",4,"TAGLN"
"MP9",5,"TPM1"
"MP9",6,"TPM2"
"MP9",7,"TPM4"
"MP9",8,"ACTG2"
"MP9",9,"CALD1"
"MP9",10,"CSRP1"
"MP9",11,"CTGF"
"MP9",12,"GLIPR1"
"MP9",13,"APOD"
"MP9",14,"NPW"
"MP9",15,"PDLIM7"
"MP9",16,"APOC1"
"MP9",17,"GPX4"
"MP9",18,"LGALS1"
"MP9",19,"ACTB"
"MP9",20,"CNN1"
"MP9",21,"CRIM1"
"MP9",22,"GBP2"
"MP9",23,"LBH"
"MP9",24,"MYL12A"
"MP9",25,"PDLIM5"
"MP9",26,"RPL5"
"MP9",27,"VCL"
"MP9",28,"WDR1"
"MP9",29,"FLNA"
"MP9",30,"ITGAV"
"MP9",31,"MGP"
"MP9",32,"SLC25A6"
"MP9",33,"ALCAM"
"MP9",34,"ASS1"
"MP9",35,"CCDC3"
"MP9",36,"CPE"
"MP9",37,"FDPS"
"MP9",38,"HCFC1R1"
"MP9",39,"HSPB1"
"MP9",40,"OGN"
"MP9",41,"PPP1R12B"
"MP9",42,"RPL10A"
"MP9",43,"RPL17"
"MP9",44,"RPL18A"
"MP9",45,"RPL8"
"MP9",46,"RPS10"
"MP9",47,"RPS2"
"MP9",48,"RPS5"
"MP9",49,"RPSA"
"MP9",50,"SLC26A2"
"MP10",1,"APOE"
"MP10",2,"OGN"
"MP10",3,"PTN"
"MP10",4,"SPARCL1"
"MP10",5,"IGFBP2"
"MP10",6,"IGFBP6"
"MP10",7,"CLU"
"MP10",8,"CLDN11"
"MP10",9,"APOD"
"MP10",10,"GJB2"
"MP10",11,"PTGDS"
"MP10",12,"CLEC3B"
"MP10",13,"CRABP1"
"MP10",14,"ITM2A"
"MP10",15,"ATP1A2"
"MP10",16,"IFI27"
"MP10",17,"ISLR"
"MP10",18,"MGP"
"MP10",19,"PLTP"
"MP10",20,"RAMP2"
"MP10",21,"TPM1"
"MP10",22,"CCND1"
"MP10",23,"CRABP2"
"MP10",24,"EDN3"
"MP10",25,"SPARC"
"MP10",26,"TNNT1"
"MP10",27,"CTSK"
"MP10",28,"ID3"
"MP10",29,"TAGLN"
"MP10",30,"TIMP1"
"MP10",31,"CST3"
"MP10",32,"CTSC"
"MP10",33,"CTSL"
"MP10",34,"PITX1"
"MP10",35,"RDH10"
"MP10",36,"TFF3"
"MP10",37,"VIM"
"MP10",38,"COLEC12"
"MP10",39,"FABP5"
"MP10",40,"FN1"
"MP10",41,"GSN"
"MP10",42,"GUCY1A1"
"MP10",43,"NPW"
"MP10",44,"RBP1"
