"ensembl","symbol","direction","program_rank","baseMean","log2FoldChange","stat","pvalue","padj","scrna_grade_rho","scrna_grade_p","scrna_grade_fdr","scrna_mean_count_tumor","scrna_mean_count_other","scrna_pct_tumor","scrna_pct_other","scrna_tumor_specificity_log2","aligned_scrna_grade","recovered_GSE16581","recovered_GSE74385","discovery_strength","internal_evidence_score"
"ENSG00000135451","TROAP","up_in_WHO_II_vs_I",61,54.9246192806164,1.35905350077665,5.09103552564658,3.56113291079375e-07,2.53443531756087e-05,0.773356363754432,0.00044149062111059,0.00350985043782919,0.0904109207022045,0.00427424604035583,0.0380244572416582,0.00335213712302018,2.81442973531428,TRUE,TRUE,TRUE,0.698492462311558,6.39698492462312
"ENSG00000154548","SRSF12","down_in_WHO_II_vs_I",62,411.487927970292,-1.09249190948684,-5.69711262927163,1.21853433818971e-08,1.76287959582364e-06,-0.645528865613203,0.00691699725418977,0.024995512804913,0.0903412022254138,0.006780212627468,0.0803156852629084,0.00649815578216533,2.58008122692763,TRUE,TRUE,TRUE,0.693467336683417,6.38693467336683
"ENSG00000072571","HMMR","up_in_WHO_II_vs_I",64,114.674025055303,1.18388423189648,5.00397374027759,5.61604107457049e-07,3.55971572851503e-05,0.8117046131968,0.000134599877230735,0.00178344837330724,0.1379170907874,0.00726838793664569,0.0418031986837152,0.00567368192666522,3.09858344168418,TRUE,TRUE,TRUE,0.683417085427136,6.36683417085427
"ENSG00000156804","FBXO32","down_in_WHO_II_vs_I",64,6938.37701469734,-2.02943832416344,-5.68287417716125,1.32449714471125e-08,1.87322647461219e-06,-0.72222536449794,0.00157978288029435,0.00897090992738579,0.59510297419022,0.0752657843349967,0.255908640908013,0.0577891082664352,2.82714184125092,TRUE,TRUE,TRUE,0.683417085427136,6.36683417085427
"ENSG00000106541","AGR2","up_in_WHO_II_vs_I",65,778.139867047352,3.15884292537443,5.00143484813561,5.69051979443734e-07,3.58705979899354e-05,0.690268489962633,0.00307915136316501,0.0139881447640925,2.31208778950597,0.0257431113039705,0.170405900971876,0.0115209372965936,6.02119300715633,TRUE,TRUE,TRUE,0.678391959798995,6.35678391959799
"ENSG00000123096","SSPN","down_in_WHO_II_vs_I",65,855.907845219222,-1.11391864859703,-5.6278677360158,1.82450899492436e-08,2.45197338277272e-06,-0.747790864126186,0.000866238764968336,0.00573883181791523,0.473318738932192,0.0886309394662617,0.248211721070318,0.0717617704491213,2.29286275047131,TRUE,TRUE,TRUE,0.678391959798995,6.35678391959799
"ENSG00000081148","IMPG2","down_in_WHO_II_vs_I",67,148.36064283995,-1.63728389609282,-5.60380540010476,2.096961304838e-08,2.7483688388904e-06,-0.683877115055572,0.00348507645538729,0.0153924210112939,0.014445668391037,0.0013126491646778,0.0134556660206088,0.00122586244304621,1.11328691171981,TRUE,TRUE,TRUE,0.668341708542714,6.33668341708543
"ENSG00000144354","CDCA7","up_in_WHO_II_vs_I",71,68.045109594068,1.72000411029798,4.91840261323469,8.72533078144319e-07,5.00006780170365e-05,0.805313238289739,0.000166968369683423,0.00204215159843572,0.0482172985484613,0.0089824256888696,0.0361141709775925,0.00761553482317206,1.616783535364,TRUE,TRUE,TRUE,0.648241206030151,6.2964824120603
"ENSG00000076864","RAP1GAP","down_in_WHO_II_vs_I",72,263.394214327408,-1.65327227089995,-5.54749230639852,2.89795908162968e-08,3.47165007629619e-06,-0.594397866356712,0.0151721995413497,0.0482475945414921,0.0168439839926377,0.000650900412236928,0.015895812708284,0.00062920373182903,1.33290390313935,TRUE,TRUE,TRUE,0.64321608040201,6.28643216080402
"ENSG00000160957","RECQL4","up_in_WHO_II_vs_I",77,102.973161689556,1.0036316471316,4.83451760907569,1.33468890634833e-06,6.90154078038516e-05,0.709442614683818,0.0020842763086994,0.0106903204220389,0.0209155430372157,0.00308092861792146,0.0181965224423777,0.00289650683445433,1.24086738532426,TRUE,TRUE,TRUE,0.618090452261307,6.23618090452261
"ENSG00000143228","NUF2","up_in_WHO_II_vs_I",78,70.636353394459,1.14632482166363,4.82638643780213,1.39032612261389e-06,7.11970678843381e-05,0.85644423754623,2.28523625339058e-05,0.000908381410722755,0.173808162639263,0.00636797569971794,0.0491794135281732,0.00532653504013886,3.48925302247782,TRUE,TRUE,TRUE,0.613065326633166,6.22613065326633
"ENSG00000143476","DTL","up_in_WHO_II_vs_I",81,137.789472822283,1.27677461808394,4.80942769310909,1.51363035420698e-06,7.47637381112496e-05,0.76696498884737,0.000526558925222426,0.00380558495956208,0.0372993850830347,0.00329789542200043,0.0247640029560634,0.00280972011282274,1.83062349077203,TRUE,TRUE,TRUE,0.597989949748744,6.19597989949749
"ENSG00000156219","ART3","down_in_WHO_II_vs_I",82,30.7503626247997,-1.60172099068414,-5.39706611801362,6.77394305283181e-08,7.03294675779303e-06,-0.696659864869695,0.00271226265152388,0.013068174593706,0.00513127989179692,0.000325450206118464,0.00495001185214105,0.000303753525710566,0.54944570737705,TRUE,TRUE,TRUE,0.592964824120603,6.18592964824121
